produto_id,nome,categoria,preco,custo
1,Notebook Dell Inspiron,Eletrônicos,3500.00,2500.00
2,Smartphone Samsung Galaxy,Eletrônicos,1500.00,1000.00
3,iPhone 13,Eletrônicos,4500.00,3200.00
4,Tablet Amazon Fire,Eletrônicos,800.00,500.00
5,Smartwatch Apple Watch,Eletrônicos,2200.00,1500.00
6,Camiseta Nike Dry-Fit,Roupas,99.90,40.00
7,Calça Jeans Levi's,Roupas,199.90,80.00
8,Tênis Adidas Ultraboost,Esportes,299.90,150.00
9,Bola de Futebol Nike,Esportes,129.90,60.00
10,Raquete de Tênis Wilson,Esportes,399.90,200.00
11,Sofá 3 Lugares,Casa,1200.00,700.00
12,Mesa de Jantar,Casa,800.00,450.00
13,Cadeira Escritório,Casa,350.00,200.00
14,Panela de Pressão,Casa,120.00,60.00
15,"Livro ""O Poder do Hábito""",Livros,49.90,25.00
16,"Livro ""1984""",Livros,39.90,20.00
17,"Livro ""A Arte da Guerra""",Livros,29.90,15.00
18,Fone de Ouvido Sony,Eletrônicos,250.00,150.00
19,Mouse Gamer,Eletrônicos,180.00,100.00
20,Teclado Mecânico,Eletrônicos,300.00,180.00
